Name,Group,Institution,Field,Awards,CNS_total,CNS_avg_per_yr,CNS_years_covered,CNS_gap_years,NeuronNatNeuro_total,eLife_total,nonCNS_total,Lab_start_year,First_senior_paper,Career_stage,Count_source,Authorship_measure,Career_reference_year,Lab_age_source,Count_fetched_at,Count_method_version,Researcher_ID,Publication_model,Identity_status,Current_institution,Institution_status,HHMI_status,HHMI_source_status,Topics,Methods,Model_organisms,Model_organism_status,Paper_species_mentions,Contribution_titles,Contribution_keywords,Contribution_status,Contribution_review_status,Contribution_review_reason,Active_years_in_window,CNS_per_active_year,Unresolved_papers,Source_URLs,Review_notes,Faculty_appointment_year,Faculty_appointment_status,CNS_2016,CNS_2017,CNS_2018,CNS_2019,CNS_2020,CNS_2021,CNS_2022,CNS_2023,CNS_2024,CNS_2025
Ziv Williams,non-HHMI,Harvard Med (MGH),human single-neuron cognition,,5,0.5,3,2016;2017;2018;2019;2020;2023;2025,2,0,15,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:45:06+00:00,3,pi_c647bfbb0e0f5a0faaa52ba62cd872cd,unified-papers,unreviewed,,unreviewed roster label,,unknown,Computation and cognition; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Neurodegeneration and aging; Sensory systems,Imaging and microscopy; MRI and neuroimaging,,unknown,Drosophila; Human; Mouse,Single-cell semantic encoding during human language comprehension; Inner-speech representations relevant to speech BCIs; Human hippocampal language processing under anaesthesia,general anaesthesia; human hippocampus; human prefrontal cortex; inner speech; motor cortex; motor-intent dimension; natural speech; Neuropixels; oddball discrimination; real-time decoding; semantic categories; semantic processing; sentence context; single-cell recordings; speech neuroprostheses,source-backed examples,complete,Input candidates supported peripheral-nerve surgery but not the rostered human single-neuron cognition focus. Additional cited PubMed primary records directly identify Ziv M. Williams/Ziv Williams at Massachusetts General Hospital/Harvard Medical School.,,,0,https://pubmed.ncbi.nlm.nih.gov/38961302/; https://pubmed.ncbi.nlm.nih.gov/40816265/; https://pubmed.ncbi.nlm.nih.gov/42092132/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 4 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,0,0,0,2,1,0,2,0
Christopher Harvey,non-HHMI,Harvard Med,cortical circuits,,5,0.5,4,2016;2018;2020;2021;2024;2025,4,1,9,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:45:08+00:00,3,pi_75e9e9eededc50a7bc1226c12655bee5,unified-papers,unreviewed,,unreviewed roster label,,unknown,Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Calcium imaging; Electrophysiology; Imaging and microscopy; MRI and neuroimaging; Optogenetics,,unknown,Mouse,Local dendritic interactions during synaptic learning; Intracellular dynamics of place cells during virtual navigation; Choice-specific parietal sequences in virtual navigation,choice-specific trajectories; clustered plasticity; dendritic branch; head-restrained mice; hippocampal place cells; hippocampal pyramidal cells; LTP threshold; neighboring spines; neuronal sequences; perceptual decision; posterior parietal cortex; theta phase precession; virtual navigation; virtual reality; whole-cell recordings,source-backed examples,complete,"Full-name neuroscience candidates support circuit plasticity, virtual-navigation and parietal-sequence contributions; medical namesakes were excluded.",,,0,https://pubmed.ncbi.nlm.nih.gov/18097401/; https://pubmed.ncbi.nlm.nih.gov/19829374/; https://pubmed.ncbi.nlm.nih.gov/22419153/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,2,0,1,0,0,1,1,0,0
Sandeep Robert Datta,non-HHMI,Harvard Med,olfaction/behavior,,5,0.5,5,2017;2019;2022;2024;2025,2,0,13,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:45:10+00:00,3,pi_f9d1e639e01f5852aa5c6e698af3dbf4,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Development; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Computational modeling; Imaging and microscopy; Optogenetics; Sequencing and transcriptomics,,unknown,Drosophila; Mouse; Rat,Distinct cortical representations of olfactory-bulb output; Sub-second mapping of mouse body-language modules; Striatal organization of moment-to-moment 3D behavior,3D behavioral motifs; 3D depth imaging; action sequences; behavioral modules; cortical amygdala; direct pathway; dorsolateral striatum; indirect pathway; innate behaviors; machine learning; motif transitions; mouse pose dynamics; olfactory bulb glomeruli; piriform cortex; tracing strategy,source-backed examples,complete,Full-name PubMed candidates support olfactory-circuit mapping and quantitative-behavior contributions.,,,0,https://pubmed.ncbi.nlm.nih.gov/21451525/; https://pubmed.ncbi.nlm.nih.gov/26687221/; https://pubmed.ncbi.nlm.nih.gov/29779950/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 1 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,1,0,1,0,1,1,0,1,0,0
Gloria Choi,non-HHMI,Massachusetts Institute of Technology,neuroscience,,5,0.5,4,2016;2018;2020;2022;2023;2024,0,0,3,,2015,early (<=10y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:45:21+00:00,3,pi_2d8618a42f495325ac1753cecd0f5031,unified-papers,unreviewed,,unreviewed roster label,,unknown,Glia and neuroimmunology; Neural circuits and behavior; Sensory systems,,,unknown,Mouse,Lhx6-marked amygdala-to-hypothalamus reproductive pathway; Maternal IL-17a pathway in inflammation-linked autism-like phenotypes; S1DZ circuit node for maternal-inflammation behavioral phenotypes,activity rescue; cortical phenotype; defensive cues; IL-17a; innate reproductive behavior; Lhx6; maternal immune activation; medial amygdala; offspring behavior; S1DZ; somatosensory cortex; TH17 cells; ventromedial hypothalamus,source-backed examples,complete,Full-name PubMed candidates support innate-behavior and maternal-immune-activation circuit contributions.,,,0,https://pubmed.ncbi.nlm.nih.gov/15944132/; https://pubmed.ncbi.nlm.nih.gov/26822608/; https://pubmed.ncbi.nlm.nih.gov/28902835/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 1 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,1,0,1,0,1,0,0,0,2
Nicholas Bellono,non-HHMI,Harvard (FAS),neuroscience,"Klingenstein-Simons, Searle Scholar",5,0.5,3,2016;2017;2018;2019;2021;2022;2024,0,2,6,,2020,rising (<=6y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:45:51+00:00,3,pi_a9cf103b9e35564cb5a47140c93dfd92,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Neural circuits and behavior; Sensory systems; Sleep and circadian rhythms,Imaging and microscopy,,unknown,,Showed enterochromaffin cells couple gut chemosensing to sensory neural pathways; Identified ion-channel mechanisms supporting skate electroreception; Defined receptor mechanisms for octopus taste-by-touch sensation,ampullae of Lorenzini; aquatic chemosensation; BK channels; CaV1.3; chemotactile receptors; electroreception; enterochromaffin cells; gut chemosensing; intestinal organoids; little skate; octopus arms; peripheral nervous system; sensory afferents; serotonin; taste by touch,source-backed examples,complete,Selected full-name primary papers on gut epithelial chemosensing and comparative molecular mechanisms for electro- and chemotactile sensation.,,,0,https://pubmed.ncbi.nlm.nih.gov/28264196/; https://pubmed.ncbi.nlm.nih.gov/28648659/; https://pubmed.ncbi.nlm.nih.gov/33125889/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,1,0,0,1,0,3
Baljit Khakh,non-HHMI,"University of California, Los Angeles",neuroscience,,5,0.5,4,2016;2017;2018;2020;2021;2025,9,0,26,,2009,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:45:55+00:00,3,pi_9b38161a0e80526f84686faa9418d168,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Neurodegeneration and aging,Calcium imaging; Connectomics; Electrophysiology; Imaging and microscopy; Optogenetics; Sequencing and transcriptomics,,unknown,C. elegans; Drosophila; Mouse; Zebrafish,Linked astrocyte Kir4.1 deficits to neuronal dysfunction in Huntington's disease models; Showed astrocytes differ by neural circuit across molecular and functional dimensions; Mapped molecular programs underlying astrocyte diversity and morphology across CNS,Alzheimer's risk genes; astrocyte diversity; astrocyte morphology; astrocytes; CNS-wide profiles; cognitive deficits; hippocampal astrocytes; Huntington's disease; Kir4.1 channels; medium spiny neurons; proteomics; regional astrocyte genes; striatal astrocytes; striatal potassium; transcriptomics,source-backed examples,complete,"Selected full-name primary papers focused on astrocyte roles in disease, circuit specialization, and CNS-wide diversity.",,,0,https://pubmed.ncbi.nlm.nih.gov/24686787/; https://pubmed.ncbi.nlm.nih.gov/28712653/; https://pubmed.ncbi.nlm.nih.gov/36378959/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,1,0,0,2,1,1,0
Alice Ting,non-HHMI,Massachusetts Institute of Technology; Stanford University,neuroscience,,5,0.5,5,2017;2018;2021;2022;2025,0,6,29,,2016,early (<=10y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:47:01+00:00,3,pi_f001a48cdced52d689b66c5cccd39ba3,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Connectomics; Imaging and microscopy; MRI and neuroimaging; Optogenetics; Sequencing and transcriptomics,,unknown,Human; Mouse; Rat,APEX genetically encoded reporter for electron microscopy; TurboID enzymes for rapid proximity labeling in cells and organisms; APEX-seq atlas of subcellular RNA localization,APEX; APEX-seq; directed evolution; electron microscopy tag; genetically encoded reporter; living organisms; mammalian organelles; miniTurbo; mitochondrial calcium uniporter; mitochondrial mRNAs; nuclear transcriptome; proximity labeling; RNA localization; spatial transcriptome; TurboID,source-backed examples,complete,"Selected three full-name primary papers representing distinct APEX electron-microscopy, TurboID proximity-labeling, and APEX-seq spatial-omics tool families.",,,0,https://pubmed.ncbi.nlm.nih.gov/23086203/; https://pubmed.ncbi.nlm.nih.gov/30125270/; https://pubmed.ncbi.nlm.nih.gov/31230715/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,1,0,0,1,1,0,0,1,1,0
Lulu Qian,rising-star,California Institute of Technology,neuroscience,,5,0.5,3,2016;2019;2020;2021;2022;2023;2024,0,0,10,,2017,early (<=10y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:47:45+00:00,3,pi_c600cc81015150bfb1e72f870ecaca41,unified-papers,unreviewed,,unreviewed roster label,,unknown,Computation and cognition; Learning and memory,Computational modeling; Imaging and microscopy,,unknown,,DNA robot for molecular cargo sorting on origami surfaces; Fractal assembly of micrometre-scale patterned DNA origami arrays; DNA-based winner-take-all neural networks for molecular pattern recognition,arbitrary patterns; cargo sorting; DNA neural networks; DNA origami; DNA robot; fractal assembly; micrometre arrays; molecular robotics; noisy digits; pattern recognition; random walk; software tool; strand displacement; winner-take-all,source-backed examples,complete,"Selected full-name primary papers on DNA nanotechnology tools for cargo sorting, patterned origami assembly, and molecular neural-network computation.",,,0,https://pubmed.ncbi.nlm.nih.gov/28912216/; https://pubmed.ncbi.nlm.nih.gov/29219965/; https://pubmed.ncbi.nlm.nih.gov/29973727/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,2,1,0,0,0,0,0,0,2
Long Cai,non-HHMI (low-CNS),California Institute of Technology,neuroscience,,5,0.5,4,2017;2018;2020;2022;2023;2024,2,0,6,,2012,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:47:47+00:00,3,pi_30f3845e98525616821df5f555ea5ad0,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Glia and neuroimmunology; Learning and memory; Motor systems,Imaging and microscopy; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Mouse; Zebrafish,Combinatorial super-resolution FISH for single-cell systems biology; seqFISH+ transcriptome-scale in situ imaging in mouse brain; Integrated spatial genomics linking nuclear architecture and expression in mouse brain,cell atlas; chromatin marks; combinatorial labeling; FISH; integrated spatial genomics; mouse brain; multiplex detection; nuclear architecture; seqFISH+; single cells; single-cell RNA; spatial transcriptomics; subcellular mRNA; super-resolution microscopy,source-backed examples,complete,"Selected full-name primary papers on multiplexed single-cell imaging, transcriptome-scale seqFISH, and integrated spatial genomics in brain tissue.",,,0,https://pubmed.ncbi.nlm.nih.gov/22660740/; https://pubmed.ncbi.nlm.nih.gov/30911168/; https://pubmed.ncbi.nlm.nih.gov/34591592/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,1,0,0,1,0,2,0,0,0,1
Joseph C. Wu,non-HHMI (low-CNS),Stanford University; University of Texas Southwestern Medical Center,neuroscience,,5,0.5,4,2016;2017;2018;2020;2021;2023,0,0,173,,,unknown,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T19:43:41+00:00,3,pi_9fb1eec914b55acbabda48aea650bd88,unified-papers,source-backed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Learning and memory,Calcium imaging; Computational modeling; Electrophysiology; Imaging and microscopy; MRI and neuroimaging; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Human; Mouse; Nonhuman primates; Rat,Chemically defined generation of human cardiomyocytes; Patient-specific iPSC cardiomyocytes for doxorubicin cardiotoxicity; PDGF pathway link to LMNA dilated cardiomyopathy,arrhythmic phenotypes; breast cancer patients; calcium handling; cardiac differentiation; defined medium; dilated cardiomyopathy; doxorubicin cardiotoxicity; human iPSCs; iPSC cardiomyocytes; LMNA mutation; mitochondrial function; patient-specific hiPSC cardiomyocytes; PDGF signaling; synthetic matrices; TNNT2-positive cardiomyocytes,source-backed examples,complete,"Targeted review identifies the roster entry as Stanford cardiovascular researcher Joseph C. Wu, not Hong Kong epidemiologist Joseph T. Wu. Contributions are non-neuroscience cardiovascular/stem-cell anchors and are flagged accordingly.",,,1,https://profiles.stanford.edu/joseph-wu; https://pubmed.ncbi.nlm.nih.gov/24930130/; https://pubmed.ncbi.nlm.nih.gov/27089514/; https://pubmed.ncbi.nlm.nih.gov/31316208/,"This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | 1 candidate papers remain unresolved and are not included in totals. | Excluded 72 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,0,1,0,0,1,0,1,2
Evan Macosko,non-HHMI,Harvard (FAS),neuroscience,"NIH DP2, Pew Biomedical",5,0.5,3,2016;2017;2018;2020;2022;2024;2025,1,0,4,,2019,rising (<=6y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:50:04+00:00,3,pi_4cd163a7b7ca510f9f0c930241021f27,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Glia and neuroimmunology; Learning and memory; Motor systems; Neurodegeneration and aging,Computational modeling; Electrophysiology; Imaging and microscopy; Sequencing and transcriptomics,,unknown,Human; Mouse,Drop-seq high-throughput single-cell transcriptomics; Slide-seq spatial transcriptomics at cellular resolution; Drop-seq atlas of adult mouse brain cell diversity,"44,808 retinal cells; 565 transcriptional groups; 690,000 adult mouse brain cells; cell barcoding; cell specializations; cerebellum and hippocampus; DNA-barcoded beads; Drop-seq; nanoliter droplets; nine brain regions; Slide-seq; spatial gene expression",source-backed examples,complete,"Selected distinct primary, source-backed contribution anchors from the assigned evidence with full-name authorship and collaborative attribution.",,,1,https://pubmed.ncbi.nlm.nih.gov/26000488/; https://pubmed.ncbi.nlm.nih.gov/30096299/; https://pubmed.ncbi.nlm.nih.gov/30923225/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | 1 candidate papers remain unresolved and are not included in totals.",,unknown,0,0,0,2,0,1,0,2,0,0
Ivan Zanoni,non-HHMI,Harvard Medical School,neuroscience,,5,0.5,5,2016;2017;2018;2019;2023,0,0,19,,2015,early (<=10y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:51:05+00:00,3,pi_714de05985dc5ae9aed8f848dc6e58bd,unified-papers,unreviewed,,unreviewed roster label,,unknown,Learning and memory,Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Mouse,Type III interferon disruption of lung epithelial barrier; IFN-λ modulation of neutrophil inflammatory function; Oxidized phospholipid reprogramming of inflammatory metabolism,bacterial superinfection; COVID-19; degranulation; glutamine; IFN-λ; interleukin-1β; intestinal inflammation; lung epithelium; macrophage metabolism; neutrophils; oxaloacetate; oxPAPC; reactive oxygen species; type III interferon; viral RNA recognition,source-backed examples,complete,"Selected full-name primary-paper matches that distinguish type III interferon barrier effects, neutrophil modulation, and DAMP-driven macrophage metabolism; skipped the viewpoint article.",,,0,https://pubmed.ncbi.nlm.nih.gov/28846084/; https://pubmed.ncbi.nlm.nih.gov/31768073/; https://pubmed.ncbi.nlm.nih.gov/32527925/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,1,1,1,0,1,1
Ilana B. Witten,HHMI,Princeton University,Neuroscience (HHMI),,4,0.4,3,2016;2018;2020;2021;2022;2023;2024,7,2,15,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:40:59+00:00,3,pi_029c839d3f5d5c8eb6dce9a087c2e2d9,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Calcium imaging; Electrophysiology; Imaging and microscopy; Optogenetics,,unknown,Mouse; Rat,Recombinase-driver rat lines for cell-type optogenetics; Causal dopamine prediction-error signal for cue-reward learning; Specialized coding of behavioral variables in VTA dopamine neurons,cell-type targeting; Cre-driver rats; cue-reward learning; dopamine neurons; functional clusters; intracranial self-stimulation; optogenetic activation; optogenetics; prediction error; reinforcement; reward encoding; two-photon imaging; virtual reality; VTA dopamine neurons,source-backed examples,complete,Selected full-name matched papers spanning optogenetic animal tools and dopamine circuit computations.,,,0,https://pubmed.ncbi.nlm.nih.gov/22153370/; https://pubmed.ncbi.nlm.nih.gov/23708143/; https://pubmed.ncbi.nlm.nih.gov/31142844/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,1,0,1,0,0,0,0,0,2
Erich D. Jarvis,HHMI,Rockefeller University,Neuroscience (HHMI),,4,0.4,3,2016;2017;2018;2020;2022;2024;2025,0,1,24,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:00+00:00,3,pi_79a7402c3e145cb0a663cdf0377d7458,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Sequencing and transcriptomics,,unknown,Human; Mouse,Whole-genome resolution of early modern-bird branches; High-quality vertebrate reference genome assembly strategy; Single-sample haplotype-resolved diploid genome assembly,48 bird genomes; assembly errors; diploid genomes; haplotype-resolved assembly; Hi-C data; incomplete lineage sorting; long-read assemblies; Neoaves phylogeny; PacBio HiFi reads; reference genomes; Vertebrate Genomes Project; vocal learning gains,source-backed examples,complete,Selected full-name comparative-genomics primary papers with clear Jarvis authorship and organism/genome scope.,,,0,https://pubmed.ncbi.nlm.nih.gov/25504713/; https://pubmed.ncbi.nlm.nih.gov/33911273/; https://pubmed.ncbi.nlm.nih.gov/35332338/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,1,0,2,0,1,0,0
Li Ye,HHMI,Scripps Research,Neuroscience (HHMI),NIH DP2,4,0.4,3,2016;2017;2018;2019;2020;2021;2024,1,0,6,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:44+00:00,3,pi_b85c7109745c5d3995afb2a3ad6b96e3,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Neural circuits and behavior; Sensory systems,Imaging and microscopy; Optogenetics,,unknown,Mouse,"Advanced CLARITY and light-sheet imaging for intact tissues; Basomedial amygdala pathway for top-down regulation of fear and anxiety; Prefrontal ensembles linking valence, wiring and molecular phenotype",basomedial amygdala; CLARITY; experience valence; fear and anxiety; hydrogel-based technology; intact tissue imaging; light-sheet microscopy; NPAS4; prefrontal cortex ensembles; top-down control; ventral mPFC; whole-brain staining,source-backed examples,complete,"Selected Stanford/Scripps neuroscience-context full-name papers; adipocyte, virology and other same-name candidates were not used because the profile identity/context was ambiguous for them.",,,0,https://pubmed.ncbi.nlm.nih.gov/24945384/; https://pubmed.ncbi.nlm.nih.gov/26536109/; https://pubmed.ncbi.nlm.nih.gov/27238022/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,2,1,0,1
Anna Molofsky,non-HHMI,"University of California, San Francisco",glia/neuro-immune,"NIH DP2, Pew Biomedical",4,0.4,4,2016;2017;2019;2021;2022;2025,1,0,7,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:44:55+00:00,3,pi_f1b6ad0eef2b585abe64c86042cc8208,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Development; Glia and neuroimmunology; Learning and memory; Neural circuits and behavior; Sensory systems,Imaging and microscopy; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Mouse; Zebrafish,Astrocyte IL-33 control of microglial synapse engulfment; Microglial extracellular-matrix remodeling for synapse plasticity; Interferon-responsive microglia in cortical development,aged mice; astrocyte-derived IL-33; developing somatosensory cortex; DNA-damaged neurons; hippocampal plasticity; memory precision; microglia; microglial ECM engulfment; neuron-engulfing microglia; neuronal IL-33; spinal cord; synapse engulfment; tactile hypersensitivity; thalamus; type I interferon,source-backed examples,complete,"Full-name PubMed candidates support distinct glia, synapse and neuroimmune developmental mechanisms.",,,0,https://pubmed.ncbi.nlm.nih.gov/29420261/; https://pubmed.ncbi.nlm.nih.gov/32615087/; https://pubmed.ncbi.nlm.nih.gov/38490196/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 7 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,1,0,1,0,0,1,1,0
Attila Losonczy,non-HHMI (low-CNS),Columbia University,neuroscience,,4,0.4,3,2016;2017;2018;2019;2020;2023;2025,16,1,20,,2012,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:45:15+00:00,3,pi_4988324544e35ef6bb52137692c8486e,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Neural circuits and behavior; Sensory systems,Calcium imaging; Electrophysiology; Imaging and microscopy; Optogenetics,,unknown,Mouse; Rat,Dendritic inhibition as a regulator of CA1 input-output transformations; Retrograde neuronal-circuit mapping tool; CA1 sublayer coding dynamics during spatial learning,anatomical connectivity; burst spiking; circuit mapping; deep CA1 pyramidal cells; dendrite-targeting interneurons; goal-oriented learning; hippocampal CA1; input-output transformations; local inhibitory network; neuronal labeling; place maps; retrograde connectivity; reward zone; superficial CA1 pyramidal cells,source-backed examples,complete,Full-name PubMed candidates support hippocampal computation and circuit-mapping tool contributions.,,,1,https://pubmed.ncbi.nlm.nih.gov/22246433/; https://pubmed.ncbi.nlm.nih.gov/26804990/; https://pubmed.ncbi.nlm.nih.gov/27397517/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | 1 candidate papers remain unresolved and are not included in totals.",,unknown,0,0,0,0,0,2,1,0,1,0
Takaki Komiyama,non-HHMI (low-CNS),"University of California, San Diego",neuroscience,,4,0.4,2,2016;2017;2018;2020;2021;2022;2023;2024,3,0,12,,2012,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:45:17+00:00,3,pi_90b11b6d7fdf58c1a11a21e3dadaa40b,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Development; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems; Sleep and circadian rhythms,Calcium imaging; Computational modeling; Imaging and microscopy; MRI and neuroimaging; Optogenetics,,unknown,Mouse,Emergent spatiotemporal motor-cortical activity during learning; Subtype-specific inhibitory plasticity during motor learning; Learning-enhanced top-down processing in visual cortex,bottom-up responses; dendritic spine turnover; distal dendrites; excitatory neurons; forelimb lever press; motor cortex; motor skill learning; primary visual cortex; PV interneurons; retrosplenial cortex; SOM interneurons; spine reorganization; top-down inputs; two-photon calcium imaging,source-backed examples,complete,Full-name PubMed candidates support motor learning and cortical learning-circuit contributions.,,,0,https://pubmed.ncbi.nlm.nih.gov/24805237/; https://pubmed.ncbi.nlm.nih.gov/26098758/; https://pubmed.ncbi.nlm.nih.gov/26167904/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,1,0,0,0,0,0,3
