Researcher_ID,Name,Contribution,Category,Year,Keywords,Summary,Attribution,Status,Scope,Source,Source_title,Accessed,Supports,PMID,DOI,Note
pi_3aeff650cf995c72a83bc7a1be768ba3,Mikhail Shapiro,Biogenic gas vesicles as ultrasound molecular reporters,tool,2014,gas vesicles; ultrasound reporters; molecular imaging; genetically encoded contrast; biosensors,"Introduced gas vesicles from microorganisms as genetically encoded nanoscale ultrasound reporters, demonstrating stable contrast, tunable imaging properties, and potential biosensor use in vitro and in vivo.",Coauthored with Mikhail G Shapiro and colleagues; PubMed author evidence lists Mikhail G Shapiro as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/24633522/,Biogenic gas nanostructures as ultrasonic molecular reporters.,2026-09-05,The paper reports gas nanostructures as ultrasonic molecular reporters and lists Mikhail G. Shapiro as a coauthor.,24633522,10.1038/nnano.2014.32,
pi_3aeff650cf995c72a83bc7a1be768ba3,Mikhail Shapiro,Mechanosensitive-channel mechanism for focused-ultrasound neuronal excitation,discovery,2022,focused ultrasound; ultrasonic neuromodulation; mechanosensitive channels; calcium accumulation; cortical neurons,Identified a primarily mechanical pathway by which focused ultrasound excites cultured mouse cortical neurons through mechanosensitive calcium-selective channels and downstream ion-channel amplification.,Coauthored with Sangjin Yoo and colleagues; PubMed author evidence lists Mikhail G Shapiro as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/35078979/,Focused ultrasound excites cortical neurons via mechanosensitive calcium accumulation and ion channel amplification.,2026-09-05,The paper reports focused-ultrasound excitation through mechanosensitive calcium accumulation and lists Mikhail G. Shapiro as a coauthor.,35078979,10.1038/s41467-022-28040-1,
pi_029c839d3f5d5c8eb6dce9a087c2e2d9,Ilana B. Witten,Recombinase-driver rat lines for cell-type optogenetics,tool,2011,Cre-driver rats; optogenetics; dopamine neurons; intracranial self-stimulation; cell-type targeting,"Generated recombinase-driver rat lines and optogenetic methods for freely moving rats, using dopamine-neuron stimulation to show that ventral tegmental activation can support self-stimulation.",Coauthored with Ilana B Witten and colleagues; PubMed author evidence lists Ilana B Witten as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/22153370/,"Recombinase-driver rat lines: tools, techniques, and optogenetic application to dopamine-mediated reinforcement.",2026-09-05,The paper reports recombinase-driver rat lines and dopamine optogenetic applications and lists Ilana B. Witten as a coauthor.,22153370,10.1016/j.neuron.2011.10.028,
pi_029c839d3f5d5c8eb6dce9a087c2e2d9,Ilana B. Witten,Causal dopamine prediction-error signal for cue-reward learning,discovery,2013,dopamine neurons; prediction error; cue-reward learning; optogenetic activation; reinforcement,"Used temporally precise optogenetic activation in rats to mimic dopamine prediction-error signals during reward delivery, causing long-lasting increases in cue-elicited reward seeking.",Coauthored with Elizabeth E Steinberg and colleagues; PubMed author evidence lists Ilana B Witten as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/23708143/,"A causal link between prediction errors, dopamine neurons and learning.",2026-09-05,The paper reports a causal link between dopamine prediction-error signaling and learning and lists Ilana B. Witten as a coauthor.,23708143,10.1038/nn.3413,
pi_029c839d3f5d5c8eb6dce9a087c2e2d9,Ilana B. Witten,Specialized coding of behavioral variables in VTA dopamine neurons,discovery,2019,VTA dopamine neurons; two-photon imaging; virtual reality; reward encoding; functional clusters,"Recorded hundreds of VTA dopamine neurons during mouse decision making and found spatially organized subpopulations that encode subsets of sensory, motor, cognitive, and reward-related variables.",Coauthored with Ben Engelhard and colleagues; PubMed author evidence lists Ilana B Witten as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/31142844/,"Specialized coding of sensory, motor and cognitive variables in VTA dopamine neurons.",2026-09-05,The paper reports population imaging of specialized VTA dopamine neuron coding and lists Ilana B. Witten as a coauthor.,31142844,10.1038/s41586-019-1261-9,
pi_0c921b9cf8e35fca9b4f48dac8da2882,Beth Stevens,Single-cell atlas of microglial states across lifespan and injury,resource,2019,microglia; single-cell RNA sequencing; lifespan; brain injury; multiple sclerosis lesions,"Profiled more than 76,000 mouse microglia across development, aging, and demyelinating injury, defining transcriptionally distinct states and markers, including reactive subtypes relevant to human multiple sclerosis lesions.",Coauthored with Timothy R Hammond and colleagues; PubMed author evidence lists Beth Stevens as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/30471926/,Single-Cell RNA Sequencing of Microglia throughout the Mouse Lifespan and in the Injured Brain Reveals Complex Cell-State Changes.,2026-09-05,The paper reports a lifespan and injury single-cell microglia atlas and lists Beth Stevens as a coauthor.,30471926,10.1016/j.immuni.2018.11.004,
pi_0c921b9cf8e35fca9b4f48dac8da2882,Beth Stevens,CD47-SIRPα brake on microglia-mediated synapse pruning,discovery,2018,CD47-SIRPα; microglia; synapse pruning; retinogeniculate system; neuronal activity,Showed that CD47-SIRPα signaling protects developing retinogeniculate synapses from excessive microglial engulfment and is required for activity-dependent bias in which inputs are pruned.,Coauthored with Emily K Lehrman and colleagues; PubMed author evidence lists Beth Stevens as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/30308165/,CD47 Protects Synapses from Excess Microglia-Mediated Pruning during Development.,2026-09-05,The paper reports CD47-SIRPα control of microglial synapse pruning and lists Beth Stevens as a coauthor.,30308165,10.1016/j.neuron.2018.09.017,
pi_0c921b9cf8e35fca9b4f48dac8da2882,Beth Stevens,In vitro platform for manipulating human microglial states,method,2023,iPSC-derived microglia; human microglial states; brain substrates; MITF; disease-associated microglia,Developed a human iPSC-derived microglia platform in which exposure to brain substrates generated transcriptional states matching human brain signatures and enabled manipulation of a phagocytic disease-associated program.,Coauthored with Michael-John Dolan and colleagues; PubMed author evidence lists Beth Stevens as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/37500887/,Exposure of iPSC-derived human microglia to brain substrates enables the generation and manipulation of diverse transcriptional states in vitro.,2026-09-05,The paper reports an in vitro human microglial-state modeling platform and lists Beth Stevens as a coauthor.,37500887,10.1038/s41590-023-01558-2,
pi_503911ad8ecd533098e95ebab307a119,Michael Brainard,Basal ganglia-forebrain control of real-time song modulation,discovery,2005,birdsong; anterior forebrain pathway; basal ganglia; song variability; motor learning,"Showed that the avian anterior forebrain pathway can direct moment-by-moment changes in learned song parameters, linking basal ganglia-forebrain activity to adaptive motor variation.",Coauthored with Mimi H Kao and colleagues; PubMed author evidence lists Michael S Brainard as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/15703748/,Contributions of an avian basal ganglia-forebrain circuit to real-time modulation of song.,2026-09-05,The paper reports anterior forebrain pathway contributions to real-time birdsong modulation and lists Michael S. Brainard as a coauthor.,15703748,10.1038/nature03127,
pi_503911ad8ecd533098e95ebab307a119,Michael Brainard,Performance variability enables adult birdsong plasticity,discovery,2007,adult birdsong; performance variability; reinforcement learning; pitch adaptation; motor exploration,"Demonstrated that subtle trial-by-trial pitch variation in crystallized adult finch song can be adaptively shifted by real-time auditory feedback, supporting a role for residual variability in motor learning.",Coauthored with Evren C Tumer and colleagues; PubMed author evidence lists Michael S Brainard as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/18097411/,Performance variability enables adaptive plasticity of 'crystallized' adult birdsong.,2026-09-05,The paper reports adaptive plasticity from adult birdsong performance variability and lists Michael S. Brainard as a coauthor.,18097411,10.1038/nature06390,
pi_503911ad8ecd533098e95ebab307a119,Michael Brainard,Transcriptomic identities of songbird vocal-circuit neurons,resource,2021,songbird vocal circuits; single-cell RNA sequencing; vocal learning; projection neurons; avian pallium,"Used single-cell transcriptomics of the songbird song motor pathway to compare avian vocal neurons with mammalian neocortical and pallial cell types, clarifying evolutionary relationships of vocal circuits.",Coauthored with Bradley M Colquitt and colleagues; PubMed author evidence lists Michael S Brainard as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/33574185/,Cellular transcriptomics reveals evolutionary identities of songbird vocal circuits.,2026-09-05,The paper reports cellular transcriptomics of songbird vocal circuits and lists Michael S. Brainard as a coauthor.,33574185,10.1126/science.abd9704,
pi_271074fa981f58a8a7676b959ccd45ff,David J. Anderson,OLIG1/OLIG2 coupling of neuronal and glial subtype specification,discovery,2002,OLIG1; OLIG2; motoneuron specification; oligodendrocyte differentiation; spinal cord progenitors,"Showed in mouse spinal cord that OLIG1 and OLIG2 are needed for motoneuron generation and oligodendrocyte differentiation, supporting a combinatorial code for specifying major CNS cell classes.",Coauthored with Qiao Zhou and colleagues; the cited author evidence lists David J Anderson as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/11955447/,The bHLH transcription factors OLIG2 and OLIG1 couple neuronal and glial subtype specification.,2026-09-05,The paper reports Olig1/2 roles in neuronal and glial subtype specification and lists David J. Anderson as a coauthor.,11955447,10.1016/s0092-8674(02)00677-3,
pi_271074fa981f58a8a7676b959ccd45ff,David J. Anderson,Drosophila circuit node integrating arousal and aggression signals,discovery,2017,Drosophila aggression; octopamine; aSP2 neurons; neuromodulatory input; social behavior,Identified male-specific aSP2 neurons as a Drosophila circuit node that integrates octopaminergic neuromodulatory input with social-behavior-promoting neurons to control aggression.,Coauthored with Kiichi Watanabe and colleagues; the cited author evidence lists David J Anderson as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/28858617/,A Circuit Node that Integrates Convergent Input from Neuromodulatory and Social Behavior-Promoting Neurons to Control Aggression in Drosophila.,2026-09-05,PubMed and official Caltech context support this primary Drosophila aggression-circuit paper as David J. Anderson lab work and list David J. Anderson as a coauthor.,28858617,10.1016/j.neuron.2017.08.017,
pi_271074fa981f58a8a7676b959ccd45ff,David J. Anderson,Tac2 control of a distributed social-isolation brain state,discovery,2018,Tac2; social isolation stress; neurokinin B; distributed brain state; mouse behavior,"Showed that chronic social isolation in mice induces brain-wide Tac2/NkB signaling, and that manipulating this pathway can prevent or mimic multiple isolation-induced behavioral changes.",Coauthored with Moriel Zelikowsky and colleagues; the cited author evidence lists David J Anderson as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/29775595/,The Neuropeptide Tac2 Controls a Distributed Brain State Induced by Chronic Social Isolation Stress.,2026-09-05,PubMed and official Caltech context support this primary social-isolation circuit paper as David J. Anderson lab work and list David J. Anderson as a coauthor.,29775595,10.1016/j.cell.2018.03.037,
pi_16d056df686b5c6fb711ad05686d3e28,Loren L. Looger,GCaMP3 calcium indicator for neural activity imaging,tool,2009,GCaMP3; genetically encoded calcium indicators; single action potentials; in vivo imaging; worms flies mice,"Improved GCaMP2 into GCaMP3 with stronger baseline fluorescence, dynamic range, calcium affinity, and in vivo performance across worms, flies, and mice, enabling more sensitive neural activity imaging.",Coauthored with Lin Tian and colleagues; PubMed author evidence lists Loren L Looger as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/19898485/,"Imaging neural activity in worms, flies and mice with improved GCaMP calcium indicators.",2026-09-05,The paper reports development and cross-species testing of GCaMP3 and lists Loren L. Looger as a coauthor.,19898485,10.1038/nmeth.1398,
pi_16d056df686b5c6fb711ad05686d3e28,Loren L. Looger,GCaMP6 ultrasensitive fluorescent calcium sensors,tool,2013,GCaMP6; calcium sensors; single-spike detection; dendritic spines; visual cortex,"Developed GCaMP6 sensors through mutagenesis and neuron-based screening, demonstrating single-action-potential detection and tuned synaptic calcium transients in multiple model systems including mouse visual cortex.",Coauthored with Tsai-Wen Chen and colleagues; PubMed author evidence lists Loren L Looger as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/23868258/,Ultrasensitive fluorescent proteins for imaging neuronal activity.,2026-09-05,The paper reports GCaMP6 development and neural-circuit imaging capabilities and lists Loren L. Looger as a coauthor.,23868258,10.1038/nature12354,
pi_16d056df686b5c6fb711ad05686d3e28,Loren L. Looger,rAAV2-retro access to projection neurons,tool,2016,rAAV2-retro; projection neurons; retrograde access; directed evolution; circuit interrogation,"Engineered rAAV2-retro by in vivo directed evolution to provide robust retrograde access to projection neurons, supporting sensor or effector expression for functional circuit interrogation and genome editing in targeted populations.",Coauthored with D Gowanlock R Tervo and colleagues; PubMed author evidence lists Loren L Looger as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/27720486/,A Designer AAV Variant Permits Efficient Retrograde Access to Projection Neurons.,2026-09-05,The paper reports the engineered rAAV2-retro vector and lists Loren L. Looger as a coauthor.,27720486,10.1016/j.neuron.2016.09.021,
pi_591cf63fc4cb58b1afe9b29ba21983b7,Loren M. Frank,Awake hippocampal replay of remote experiences,discovery,2009,hippocampal replay; remote experiences; place cells; waking behavior; memory retrieval,"Showed that rat hippocampal place-cell sequences from a prior environment are replayed during pauses in waking behavior, indicating that awake replay can reactivate stored experiences beyond current sensory input.",Coauthored with Mattias P Karlsson and colleagues; PubMed author evidence lists Loren M Frank as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/19525943/,Awake replay of remote experiences in the hippocampus.,2026-09-05,The paper reports awake replay of remote experiences and lists Loren M. Frank as a coauthor.,19525943,10.1038/nn.2344,
pi_591cf63fc4cb58b1afe9b29ba21983b7,Loren M. Frank,Awake sharp-wave ripples support spatial memory,discovery,2012,sharp-wave ripples; spatial memory; awake replay; memory-guided decisions; hippocampus,"Interrupted awake hippocampal sharp-wave ripples during spatial alternation learning and found persistent learning and performance deficits, linking awake SWR events to memory-guided decision-making.",Coauthored with Shantanu P Jadhav and colleagues; PubMed author evidence lists Loren M Frank as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/22555434/,Awake hippocampal sharp-wave ripples support spatial memory.,2026-09-05,The paper reports causal interruption of awake sharp-wave ripples and lists Loren M. Frank as a coauthor.,22555434,10.1126/science.1217230,
pi_591cf63fc4cb58b1afe9b29ba21983b7,Loren M. Frank,Cortical-hippocampal-cortical loop during memory consolidation,discovery,2017,memory consolidation; auditory cortex; hippocampal SWRs; sleep; replay content,"Recorded auditory cortex and hippocampus during sleep after task learning, showing cortical activity can precede and bias hippocampal SWR content, followed by hippocampal prediction of cortical activity.",Coauthored with Gideon Rothschild and colleagues; PubMed author evidence lists Loren M Frank as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/27941790/,A cortical-hippocampal-cortical loop of information processing during memory consolidation.,2026-09-05,The paper reports cortical-hippocampal-cortical information flow around SWRs and lists Loren M. Frank as a coauthor.,27941790,10.1038/nn.4457,
pi_d93b62a99e8d581dbe0169c9edc4e16a,Cagla Eroglu,Astrocyte hevin assembly and refinement of thalamocortical synapses,discovery,2014,hevin; astrocytes; thalamocortical synapses; neurexin neuroligin bridge; visual cortex,Showed that astrocyte-secreted hevin is required for thalamocortical synaptic connectivity and can bridge neurexin-1α and neuroligin-1B to assemble and refine developing visual-cortex synapses.,"Coauthored with W Christopher Risher, Sandeep K Singh, and colleagues; PubMed author evidence lists Cagla Eroglu as a coauthor. Credit is collaborative and does not imply sole authorship.",source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/25517933/,Astrocytes refine cortical connectivity at dendritic spines.,2026-09-05,The paper reports hevin-dependent refinement of cortical thalamocortical synapses and lists Cagla Eroglu as a coauthor.,25517933,10.7554/elife.04047,
pi_d93b62a99e8d581dbe0169c9edc4e16a,Cagla Eroglu,Astrocyte hevin assembly and refinement of thalamocortical synapses,discovery,2014,hevin; astrocytes; thalamocortical synapses; neurexin neuroligin bridge; visual cortex,Showed that astrocyte-secreted hevin is required for thalamocortical synaptic connectivity and can bridge neurexin-1α and neuroligin-1B to assemble and refine developing visual-cortex synapses.,"Coauthored with W Christopher Risher, Sandeep K Singh, and colleagues; PubMed author evidence lists Cagla Eroglu as a coauthor. Credit is collaborative and does not imply sole authorship.",source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/26771491/,Astrocytes Assemble Thalamocortical Synapses by Bridging NRX1α and NL1 via Hevin.,2026-09-05,The paper reports hevin bridging NRX1α and NL1 to assemble synapses and lists Cagla Eroglu as a coauthor.,26771491,10.1016/j.cell.2015.11.034,
pi_d93b62a99e8d581dbe0169c9edc4e16a,Cagla Eroglu,Astrocytic neuroligins link astrocyte morphogenesis to synaptogenesis,discovery,2017,astrocytic neuroligins; astrocyte morphogenesis; synaptogenesis; neurexins; cortical synapses,Identified astrocytic neuroligins as contact-dependent regulators of cortical astrocyte morphogenesis and showed that loss of astrocytic NL2 alters excitatory and inhibitory synaptic function.,Coauthored with Jeff A Stogsdill and colleagues; PubMed author evidence lists Cagla Eroglu as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/29120426/,Astrocytic neuroligins control astrocyte morphogenesis and synaptogenesis.,2026-09-05,The paper reports astrocytic neuroligin control of morphogenesis and synaptogenesis and lists Cagla Eroglu as a coauthor.,29120426,10.1038/nature24638,
pi_d93b62a99e8d581dbe0169c9edc4e16a,Cagla Eroglu,Rapid unbiased dendritic-spine classification from Golgi staining,method,2014,Golgi-Cox staining; dendritic spines; spine morphology; unbiased classification; visual cortex,"Developed a geometry-based analysis approach for classifying dendritic spine types from Golgi-Cox staining, reducing observer dependence and capturing developmental spine-maturation shifts in mouse visual cortex.",Coauthored with W Christopher Risher and colleagues; PubMed author evidence lists Cagla Eroglu as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/25208214/,Rapid Golgi analysis method for efficient and unbiased classification of dendritic spines.,2026-09-05,The paper reports the rapid Golgi spine analysis method and lists Cagla Eroglu as a coauthor.,25208214,10.1371/journal.pone.0107591,
pi_6352715332385f84988cfe29550e54a3,Tirin Moore,Frontal eye field signals modulate V4 receptive-field competition,discovery,2006,frontal eye field; area V4; spatial attention; receptive fields; microstimulation,Showed that subthreshold frontal eye field stimulation in monkeys changes V4 visual responses and receptive-field competition in ways resembling covert spatial attention.,Coauthored with Katherine M Armstrong and colleagues; PubMed author evidence lists Tirin Moore as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/16731516/,Changes in visual receptive fields with microstimulation of frontal cortex.,2026-09-05,The paper reports frontal cortex stimulation effects on visual receptive fields and lists Tirin Moore as a coauthor.,16731516,10.1016/j.neuron.2006.05.010,
pi_6352715332385f84988cfe29550e54a3,Tirin Moore,Prefrontal D1 dopamine control of visual cortical signals,discovery,2011,prefrontal dopamine; D1 receptors; frontal eye field; visual cortex; macaque V4,"Pharmacologically manipulated dopamine receptors in macaque frontal eye field and found D1-mediated enhancement of V4 response magnitude, selectivity, and reliability at matching visual-field locations.",Coauthored with Behrad Noudoost and colleagues; PubMed author evidence lists Tirin Moore as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/21572439/,Control of visual cortical signals by prefrontal dopamine.,2026-09-05,The paper reports D1 receptor-mediated prefrontal control of visual cortical signals and lists Tirin Moore as a coauthor.,21572439,10.1038/nature09995,
